Date,Day,Month,Year,Weekend
8/9/2014,9,8,2014,1
8/10/2014,10,8,2014,1
8/11/2014,11,8,2014,0
8/12/2014,12,8,2014,0
8/13/2014,13,8,2014,0
8/14/2014,14,8,2014,0
8/15/2014,15,8,2014,0
8/16/2014,16,8,2014,1
8/17/2014,17,8,2014,1
8/18/2014,18,8,2014,0
8/19/2014,19,8,2014,0
8/20/2014,20,8,2014,0
8/21/2014,21,8,2014,0
8/22/2014,22,8,2014,0
8/23/2014,23,8,2014,1
8/24/2014,24,8,2014,1
8/25/2014,25,8,2014,0
8/26/2014,26,8,2014,0
8/27/2014,27,8,2014,0
8/28/2014,28,8,2014,0
8/29/2014,29,8,2014,0
8/30/2014,30,8,2014,1
8/31/2014,31,8,2014,1
