,Date,Month,Day,Year,URL,AverageTemperature
132,8/21/2008,8,21,2008,http://www.wunderground.com/history/airport/KNYC/2008/8/21/DailyHistory.html,72
133,9/23/2008,9,23,2008,http://www.wunderground.com/history/airport/KNYC/2008/9/23/DailyHistory.html,62
134,10/21/2008,10,21,2008,http://www.wunderground.com/history/airport/KNYC/2008/10/21/DailyHistory.html,53
135,6/8/2009,6,8,2009,http://www.wunderground.com/history/airport/KNYC/2009/6/8/DailyHistory.html,69
136,6/23/2009,6,23,2009,http://www.wunderground.com/history/airport/KNYC/2009/6/23/DailyHistory.html,73
137,7/29/2009,7,29,2009,http://www.wunderground.com/history/airport/KNYC/2009/7/29/DailyHistory.html,77
138,8/21/2009,8,21,2009,http://www.wunderground.com/history/airport/KNYC/2009/8/21/DailyHistory.html,81
139,9/15/2009,9,15,2009,http://www.wunderground.com/history/airport/KNYC/2009/9/15/DailyHistory.html,71
140,10/20/2009,10,20,2009,http://www.wunderground.com/history/airport/KNYC/2009/10/20/DailyHistory.html,55
141,5/22/2010,5,22,2010,http://www.wunderground.com/history/airport/KNYC/2010/5/22/DailyHistory.html,66
142,6/16/2008,6,16,2008,http://www.wunderground.com/history/airport/KNYC/2008/6/16/DailyHistory.html,70
143,7/22/2010,7,22,2010,http://www.wunderground.com/history/airport/KNYC/2010/7/22/DailyHistory.html,82
144,8/18/2010,8,18,2010,http://www.wunderground.com/history/airport/KNYC/2010/8/18/DailyHistory.html,79
145,9/12/2010,9,12,2010,http://www.wunderground.com/history/airport/KNYC/2010/9/12/DailyHistory.html,63
146,10/13/2010,10,13,2010,http://www.wunderground.com/history/airport/KNYC/2010/10/13/DailyHistory.html,56
147,5/17/2011,5,17,2011,http://www.wunderground.com/history/airport/KNYC/2011/5/17/DailyHistory.html,56
148,6/28/2011,6,28,2011,http://www.wunderground.com/history/airport/KNYC/2011/6/28/DailyHistory.html,78
149,7/18/2011,7,18,2011,http://www.wunderground.com/history/airport/KNYC/2011/7/18/DailyHistory.html,85
150,8/17/2011,8,17,2011,http://www.wunderground.com/history/airport/KNYC/2011/8/17/DailyHistory.html,76
151,10/11/2012,10,11,2012,http://www.wunderground.com/history/airport/KNYC/2012/10/11/DailyHistory.html,53
152,5/30/2013,5,30,2013,http://www.wunderground.com/history/airport/KNYC/2013/5/30/DailyHistory.html,81
153,6/20/2013,6,20,2013,http://www.wunderground.com/history/airport/KNYC/2013/6/20/DailyHistory.html,71
154,8/15/2013,8,15,2013,http://www.wunderground.com/history/airport/KNYC/2013/8/15/DailyHistory.html,69
155,9/19/2013,9,19,2013,http://www.wunderground.com/history/airport/KNYC/2013/9/19/DailyHistory.html,67
156,10/17/2013,10,17,2013,http://www.wunderground.com/history/airport/KNYC/2013/10/17/DailyHistory.html,67
157,9/15/2011,9,15,2011,http://www.wunderground.com/history/airport/KNYC/2011/9/15/DailyHistory.html,65
158,10/20/2011,10,20,2011,http://www.wunderground.com/history/airport/KNYC/2011/10/20/DailyHistory.html,61
159,5/16/2012,5,16,2012,http://www.wunderground.com/history/airport/KNYC/2012/5/16/DailyHistory.html,70
160,6/12/2012,6,12,2012,http://www.wunderground.com/history/airport/KNYC/2012/6/12/DailyHistory.html,69
161,7/17/2012,7,17,2012,http://www.wunderground.com/history/airport/KNYC/2012/7/17/DailyHistory.html,85
162,8/14/2012,8,14,2012,http://www.wunderground.com/history/airport/KNYC/2012/8/14/DailyHistory.html,76
163,9/11/2012,9,11,2012,http://www.wunderground.com/history/airport/KNYC/2012/9/11/DailyHistory.html,64
164,5/13/2009,5,13,2009,http://www.wunderground.com/history/airport/KNYC/2009/5/13/DailyHistory.html,58
165,7/18/2013,7,18,2013,http://www.wunderground.com/history/airport/KNYC/2013/7/18/DailyHistory.html,90
166,9/9/2007,9,9,2007,http://www.wunderground.com/history/airport/KNYC/2007/9/9/DailyHistory.html,78
167,8/23/2007,8,23,2007,http://www.wunderground.com/history/airport/KNYC/2007/8/23/DailyHistory.html,69
168,7/16/2007,7,16,2007,http://www.wunderground.com/history/airport/KNYC/2007/7/16/DailyHistory.html,77
