exportCountry,importCountry,Product,Trade
Ecuador,Mexico,Transportation Equipment and Parts,53.69
Canada,Mexico,Vegetable Products,1411030.72
United States,Mexico,Vegetable Products,11624166.86
Argentina,Mexico,Vegetable Products,199115.53
Brazil,Mexico,Vegetable Products,129414.32
Chile,Mexico,Vegetable Products,332933.92
Colombia,Mexico,Vegetable Products,37682.81
Ecuador,Mexico,Vegetable Products,43020.72
Canada,Mexico,"Wood, Paper and Related Products",163686.13
United States,Mexico,"Wood, Paper and Related Products",5444241.27
Argentina,Mexico,"Wood, Paper and Related Products",19618.09
Brazil,Mexico,"Wood, Paper and Related Products",175494.08
Chile,Mexico,"Wood, Paper and Related Products",365155.85
Colombia,Mexico,"Wood, Paper and Related Products",37510.5
Ecuador,Mexico,"Wood, Paper and Related Products",4754.27
Canada,Argentina,Animal Products,897.43
Mexico,Argentina,Animal Products,0
United States,Argentina,Animal Products,18696.52
Brazil,Argentina,Animal Products,115356.31
Chile,Argentina,Animal Products,55590.98
Colombia,Argentina,Animal Products,192.9
Ecuador,Argentina,Animal Products,65576.56
Canada,Argentina,Beverages and Oils,216.71
Mexico,Argentina,Beverages and Oils,12661.83
United States,Argentina,Beverages and Oils,6145.15
Brazil,Argentina,Beverages and Oils,13880.61
Chile,Argentina,Beverages and Oils,9118.3
Colombia,Argentina,Beverages and Oils,62.55
Ecuador,Argentina,Beverages and Oils,1861.07
Canada,Argentina,Chemicals and Related Products,55176.89
Mexico,Argentina,Chemicals and Related Products,504143.25
United States,Argentina,Chemicals and Related Products,2924714.3
Brazil,Argentina,Chemicals and Related Products,2574394.71
Chile,Argentina,Chemicals and Related Products,222648.07
Colombia,Argentina,Chemicals and Related Products,119199.85
Ecuador,Argentina,Chemicals and Related Products,843.76
Canada,Argentina,"Computers, Office, Communications, and Professional Equipment",28391.63
Mexico,Argentina,"Computers, Office, Communications, and Professional Equipment",288501.51
United States,Argentina,"Computers, Office, Communications, and Professional Equipment",1415182.56
Brazil,Argentina,"Computers, Office, Communications, and Professional Equipment",409767.5
Chile,Argentina,"Computers, Office, Communications, and Professional Equipment",2246.74
Colombia,Argentina,"Computers, Office, Communications, and Professional Equipment",714.18
Ecuador,Argentina,"Computers, Office, Communications, and Professional Equipment",160.8
Canada,Argentina,Energy and Mining,38310.38
Mexico,Argentina,Energy and Mining,2656.06
United States,Argentina,Energy and Mining,2282235.44
Brazil,Argentina,Energy and Mining,1272913.79
Chile,Argentina,Energy and Mining,12015.76
Colombia,Argentina,Energy and Mining,104609.83
Ecuador,Argentina,Energy and Mining,0
Canada,Argentina,Glass and Non-Metallic Products,2023.13
Mexico,Argentina,Glass and Non-Metallic Products,16550.81
United States,Argentina,Glass and Non-Metallic Products,42986.46
Brazil,Argentina,Glass and Non-Metallic Products,146693.16
Chile,Argentina,Glass and Non-Metallic Products,15992.58
Colombia,Argentina,Glass and Non-Metallic Products,5999.68
Ecuador,Argentina,Glass and Non-Metallic Products,77.3
Canada,Argentina,Machinery and Electrical Equipment,101215.95
Mexico,Argentina,Machinery and Electrical Equipment,129301.65
United States,Argentina,Machinery and Electrical Equipment,1602271.14
Brazil,Argentina,Machinery and Electrical Equipment,1784143.87
Chile,Argentina,Machinery and Electrical Equipment,91476.74
Colombia,Argentina,Machinery and Electrical Equipment,3749.18
Ecuador,Argentina,Machinery and Electrical Equipment,1295.24
Canada,Argentina,Metals and Metal Products,13011.18
Mexico,Argentina,Metals and Metal Products,154297.06
United States,Argentina,Metals and Metal Products,188581.96
Brazil,Argentina,Metals and Metal Products,1389380.54
Chile,Argentina,Metals and Metal Products,186172.9
Colombia,Argentina,Metals and Metal Products,2104.38
Ecuador,Argentina,Metals and Metal Products,83.8
